rank,processor,rating,antutu10,geekbench6,cores,clock,gpu,company,processor_key
1,Dimensity 9400 Plus,98 A+,2651570,2927 / 9000,8 (1+3+4),3730 MHz,Mali-G925 MP12,MediaTek,dimensity 9400 plus
2,Snapdragon 8 Elite (Gen 4),98 A+,2734385,3155 / 9723,8 (2+6),4320 MHz,Adreno 830,Qualcomm,snapdragon 8 elite gen 4
3,A18 Pro,97 A+,1853696,3582 / 9089,6 (2+4),4050 MHz,Apple A18 Pro GPU,Apple,a18 pro
4,Xring O1,96 A+,2501370,3086 / 9701,10 (2+4+2+2),3900 MHz,Mali-G925 MP16,Other,xring o1
5,Apple A18,95 A+,1622118,3466 / 8592,6 (2+4),4050 MHz,Apple A18 GPU,Apple,a18
6,Exynos 2500,95 A+,2154825,2522 / 9015,10 (1+2+5+2),3300 MHz,Samsung Xclipse 950,Samsung,exynos 2500
7,Dimensity 9400,95 A+,2567604,2874 / 8969,8 (1+3+4),3620 MHz,Mali-G925 MP12,MediaTek,dimensity 9400
8,Dimensity 9300 Plus,94 A+,2094291,2302 / 7547,8 (1+3+4),3400 MHz,Mali-G720 MP12,MediaTek,dimensity 9300 plus
9,A17 Pro,93 A+,1555898,2953 / 7441,6 (2+4),3780 MHz,Apple A17 GPU,Apple,a17 pro
10,Dimensity 9300,92 A,2070127,2239 / 7538,8 (1+3+4),3250 MHz,Mali-G720 MP12,MediaTek,dimensity 9300
11,Snapdragon 8 Gen 3,92 A,2052015,2193 / 7304,8 (1+3+2+2),3300 MHz,Adreno 750,Qualcomm,snapdragon 8 gen 3
12,Dimensity 9400e,91 A,2102937,2233 / 7258,8 (1+3+4),3400 MHz,Mali-G720 MP12,MediaTek,dimensity 9400e
13,Snapdragon 8s Gen 4,91 A,2052776,2154 / 6880,8 (1+3+2+2),3210 MHz,Adreno 825,Qualcomm,snapdragon 8s gen 4
14,A16 Bionic,90 A,1462668,2627 / 6838,6 (2+4),3460 MHz,Apple A16 GPU,Apple,a16 bionic
15,Exynos 2400,87 A,1777263,2196 / 6964,10 (1+2+3+4),3210 MHz,Samsung Xclipse 940,Samsung,exynos 2400
16,Exynos 2400e,86 A,1773931,2099 / 6414,10 (1+2+3+4),3110 MHz,Samsung Xclipse 940,Samsung,exynos 2400e
17,Dimensity 8450,83 A,1675507,1617 / 6406,8 (1+3+4),3250 MHz,Mali-G720 MP7,MediaTek,dimensity 8450
18,Tensor G5,83 A,1508196,2301 / 6987,8 (1+5+2),3780 MHz,PowerVR DXT-48-1536,Google,tensor g5
19,A15 Bionic,82 A,1312369,2332 / 5736,6 (2+4),3230 MHz,Apple A15 GPU,Apple,a15 bionic
20,Dimensity 8400,81 A,1642252,1571 / 6033,8 (1+3+4),3250 MHz,Mali-G720 MP7,MediaTek,dimensity 8400
21,Snapdragon 8 Gen 2,81 A,1563919,1991 / 5299,8 (1+2+2+3),3200 MHz,Adreno 740,Qualcomm,snapdragon 8 gen 2
22,Dimensity 9200,79 A,1468431,1949 / 5281,8 (1+3+4),3050 MHz,Mali-G715 MP11,MediaTek,dimensity 9200
23,Snapdragon 8s Gen 3,78 A,1479281,2019 / 5570,8 (1+4+3),3000 MHz,Adreno 735,Qualcomm,snapdragon 8s gen 3
24,Dimensity 9200 Plus,78 A,1481997,2090 / 5532,8 (1+3+4),3350 MHz,Mali-G715 MP11,MediaTek,dimensity 9200 plus
25,Snapdragon 7 Plus Gen 3,75 A,1413752,1913 / 5098,8 (1+4+3),2800 MHz,Adreno 732,Qualcomm,snapdragon 7 plus gen 3
26,Dimensity 8350,73 A,1388209,1285 / 4325,8 (1+3+4),3350 MHz,Mali-G615 MP6,MediaTek,dimensity 8350
27,Tensor G4,72 A,1291119,2005 / 4835,8 (1+3+4),3100 MHz,Mali-G715 MP7,Google,tensor g4
28,Dimensity 8300,71 A,1405827,1398 / 4293,8 (1+3+4),3350 MHz,Mali-G615 MP6,MediaTek,dimensity 8300
29,A14 Bionic,71 A,1103800,2079 / 4779,6 (2+4),3100 MHz,Apple A14 GPU,Apple,a14 bionic
30,Snapdragon 8 Plus Gen 1,69 A,1298491,1767 / 4591,8 (1+3+4),3200 MHz,Adreno 730,Qualcomm,snapdragon 8 plus gen 1
31,Kirin 8020,67 A,1326372,1350 / 3570,8 (1+3+4),2285 MHz,Maleoon 920,Huawei,kirin 8020
32,Tensor G3,66 A,1152535,1760 / 4442,9 (1+4+4),2910 MHz,Mali-G715 MP7,Google,tensor g3
33,Snapdragon 7 Plus Gen 2,64 B,1124644,1697 / 4404,8 (1+3+4),2910 MHz,Adreno 725,Qualcomm,snapdragon 7 plus gen 2
34,Dimensity 9000 Plus,64 B,1114121,1647 / 4481,8 (1+3+4),3200 MHz,Mali-G710 MP10,MediaTek,dimensity 9000 plus
35,Snapdragon 8 Gen 1,64 B,1168495,1661 / 4002,8 (1+3+4),3000 MHz,Adreno 730,Qualcomm,snapdragon 8 gen 1
36,A13 Bionic,64 B,919431,1748 / 4161,6 (2+4),2650 MHz,Apple A13 GPU,Apple,a13 bionic
37,Exynos 2200,63 B,1137188,1582 / 3669,8 (1+3+4),2800 MHz,Samsung Xclipse 920,Samsung,exynos 2200
38,Dimensity 9000,62 B,1101116,1585 / 4169,8 (1+3+4),3050 MHz,Mali-G710 MP10,MediaTek,dimensity 9000
39,Kirin 9020,60 B,1294877,1298 / 4586,8 (1+3+4),2500 MHz,Maleoon 920,Huawei,kirin 9020
40,Snapdragon 7 Gen 4,58 B,1086379,1204 / 3592,8 (1+4+3),2800 MHz,Adreno 722,Qualcomm,snapdragon 7 gen 4
41,Snapdragon 888 Plus,57 B,963578,1550 / 3887,8 (1+3+4),2995 MHz,Adreno 660,Qualcomm,snapdragon 888 plus
42,Tensor G2,56 B,936100,1439 / 3802,8 (2+2+4),2850 MHz,Mali-G710 MP7,Google,tensor g2
43,Snapdragon 888,56 B,919201,1427 / 3423,8 (1+3+4),2840 MHz,Adreno 660,Qualcomm,snapdragon 888
44,Snapdragon 7s Gen 4,54 B,874745,1214 / 3314,8 (1+3+4),2700 MHz,Adreno 810,Qualcomm,snapdragon 7s gen 4
45,Exynos 1580,54 B,912582,1360 / 3893,8 (1+3+4),2900 MHz,Samsung Xclipse 540,Samsung,exynos 1580
46,Dimensity 8200,54 B,934374,1224 / 3891,8 (1+3+4),3100 MHz,Mali-G610 MP6,MediaTek,dimensity 8200
47,Google Tensor,53 B,901650,1317 / 3208,8 (2+2+4),2800 MHz,Mali-G78 MP20,Google,tensor
48,Exynos 2100,53 B,896774,1356 / 3348,8 (1+3+4),2900 MHz,Mali-G78 MP14,Samsung,exynos 2100
49,Kirin 9000,53 B,901517,1262 / 3507,8 (1+3+4),3130 MHz,Mali-G78 MP24,Huawei,kirin 9000
50,Kirin 9010,52 B,956941,1410 / 4176,8 (1+3+4),2300 MHz,Maleoon 910,Huawei,kirin 9010
51,Dimensity 8100,52 B,855531,1140 / 3624,8 (4+4),2850 MHz,Mali-G610 MP6,MediaTek,dimensity 8100
52,Snapdragon 7s Gen 3,50 B,807253,1178 / 3146,8 (1+3+4),2500 MHz,Adreno 810,Qualcomm,snapdragon 7s gen 3
53,Snapdragon 7 Gen 3,50 B,818589,1139 / 3375,8 (1+3+4),2630 MHz,Adreno 720,Qualcomm,snapdragon 7 gen 3
54,A12 Bionic,50 B,706955,1292 / 2837,6 (2+4),2490 MHz,Apple A12 GPU,Apple,a12 bionic
55,Dimensity 8000,49 B,863025,1112 / 3498,8 (4+4),2750 MHz,Mali-G610 MP6,MediaTek,dimensity 8000
56,Snapdragon 870,49 B,819641,1141 / 3317,8 (1+3+4),3200 MHz,Adreno 650,Qualcomm,snapdragon 870
57,Snapdragon 6 Gen 4,48 B,756470,1091 / 3085,8 (1+3+4),2300 MHz,Adreno 810,Qualcomm,snapdragon 6 gen 4
58,Dimensity 7350,48 B,753533,1086 / 3063,8 (2+6),3000 MHz,Mali-G610 MP4,MediaTek,dimensity 7350
59,Dimensity 8050,48 B,767039,1097 / 3359,8 (1+3+4),3000 MHz,Mali-G77 MP9,MediaTek,dimensity 8050
60,Dimensity 1300,48 B,748318,1242 / 3444,8 (1+3+4),3000 MHz,Mali-G77 MP9,MediaTek,dimensity 1300
61,Snapdragon 865 Plus,48 B,737495,1162 / 3276,8 (1+3+4),3100 MHz,Adreno 650,Qualcomm,snapdragon 865 plus
62,Kirin 9000S,47 B,823241,1324 / 4116,8 (1+3+4),2620 MHz,Maleoon 910,Huawei,kirin 9000s
63,Dimensity 8020,47 B,747153,1122 / 3681,8 (4+4),2600 MHz,Mali-G77 MP9,MediaTek,dimensity 8020
